ID_Activite,Type,NumSAAQ,Date,Heure,Duree,Montant,Statut,Plaque
1,EP,100000009,11-01-2026,14:30,60,150.0,C,LOC111
2,ET,100000007,20-04-2026,9:30,60,40.0,NC,DEF456
3,EP,100000009,21-01-2026,9:30,60,150.0,C,LOC333
4,EP,100000010,18-02-2026,17:00,60,150.0,C,DEF456
5,LT,100000002,26-05-2026,9:30,60,45.0,C,LOC111
6,LPA,100000012,31-05-2026,9:00,90,112.5,C,DEF456
7,LPA,100000008,07-06-2026,16:00,90,112.5,C,GHI789
8,LPA,100000002,01-06-2026,11:30,60,75.0,C,ABC123
9,LPZ,100000016,18-06-2026,11:30,120,150.0,C,ABC123
10,EPL,100000014,06-06-2026,10:30,60,85.0,C,ABC123
11,EPL,100000002,10-04-2026,14:00,60,85.0,C,ABC123
12,LT,100000015,26-05-2026,16:30,90,67.5,C,ABC123
13,LPA,100000011,17-06-2026,12:00,90,112.5,C,ABC123
14,EPL,100000004,09-04-2026,16:00,60,85.0,C,GHI789
15,LT,100000006,21-05-2026,8:00,120,90.0,NC,DEF456
16,LPA,100000010,24-01-2026,9:30,60,75.0,NC,LOC111
17,ET,100000018,12-05-2026,16:00,60,40.0,C,DEF456
18,LPA,100000014,20-07-2026,12:30,120,150.0,NC,LOC111
19,LPS,100000012,25-06-2026,9:30,120,150.0,C,ABC123
20,LPA,100000018,24-05-2026,8:00,120,150.0,C,GHI789
21,EPL,100000002,05-06-2026,12:30,60,85.0,C,ABC123
22,ET,100000005,23-06-2026,15:30,60,40.0,C,ABC123
23,LT,100000004,22-03-2026,8:00,90,67.5,C,DEF456
24,EP,100000011,25-03-2026,16:30,60,150.0,C,ABC123
25,LPZ,100000006,21-06-2026,15:00,90,112.5,C,LOC111
26,EP,100000018,27-04-2026,10:30,60,150.0,C,LOC111
27,EPL,100000007,06-05-2026,14:00,60,85.0,NC,LOC111
28,EP,100000009,06-05-2026,16:30,60,150.0,C,GHI789
29,LPA,100000010,15-02-2026,13:00,60,75.0,C,LOC111
30,LT,100000016,02-04-2026,9:00,120,90.0,C,GHI789
31,LT,100000003,16-06-2026,11:00,60,45.0,C,GHI789
32,LT,100000014,01-06-2026,11:30,120,90.0,C,DEF456
33,LPA,100000013,18-06-2026,8:30,120,150.0,C,ABC123
34,LPA,100000004,13-03-2026,13:00,120,150.0,NC,ABC123
35,LPZ,100000012,22-06-2026,12:00,60,75.0,C,LOC333
36,LPZ,100000018,09-05-2026,12:00,120,150.0,NC,LOC111
37,LPA,100000018,01-06-2026,13:00,90,112.5,C,GHI789
38,LT,100000009,15-03-2026,9:30,90,67.5,NC,LOC111
39,LPA,100000002,15-04-2026,10:30,90,112.5,C,DEF456
40,LT,100000014,05-02-2026,10:00,60,45.0,NC,GHI789
41,LPA,100000018,12-05-2026,8:30,90,112.5,C,DEF456
42,LT,100000008,04-06-2026,17:00,60,45.0,NC,LOC222
43,EPL,100000008,10-05-2026,14:00,60,85.0,C,LOC111
44,EP,100000011,11-06-2026,11:30,60,150.0,C,LOC333
45,LPZ,100000004,30-03-2026,13:30,60,75.0,NC,DEF456
46,LPA,100000008,13-07-2026,12:00,60,75.0,NC,DEF456
47,LPZ,100000009,20-05-2026,13:00,120,150.0,C,GHI789
48,LPA,100000009,18-03-2026,14:30,120,150.0,C,GHI789
49,LPS,100000011,06-07-2026,11:30,120,150.0,C,GHI789
50,LPA,100000014,25-05-2026,11:30,120,150.0,C,GHI789
