ID_Paiement,ID_Activite,NumSAAQ,Montant,MontantRestant,Date,Statut,Methode,Motif
F-2026-00001,1,100000009,150.0,0.0,02-08-2026,P,C,EP
F-2026-00002,2,100000007,40.0,40.0,20-04-2026,I,V,ET
F-2026-00003,3,100000009,150.0,60.43,26-01-2026,PP,C,EP
F-2026-00004,4,100000010,150.0,0.0,23-02-2026,P,C,EP
F-2026-00005,5,100000002,45.0,0.0,27-05-2026,P,C,LT
F-2026-00006,6,100000012,112.5,112.5,03-06-2026,I,V,LPA
F-2026-00007,7,100000008,112.5,112.5,08-06-2026,I,V,LPA
F-2026-00008,8,100000002,75.0,0.0,04-06-2026,P,V,LPA
F-2026-00009,9,100000016,150.0,150.0,20-06-2026,I,C,LPZ
F-2026-00010,10,100000014,85.0,0.0,10-06-2026,P,V,EPL
F-2026-00011,11,100000002,85.0,85.0,13-04-2026,I,C,EPL
F-2026-00012,12,100000015,67.5,0.0,27-05-2026,P,V,LT
F-2026-00013,13,100000011,112.5,0.0,22-06-2026,P,E,LPA
F-2026-00014,14,100000004,85.0,85.0,11-04-2026,I,V,EPL
F-2026-00015,15,100000006,90.0,90.0,25-05-2026,I,C,LT
F-2026-00016,16,100000010,75.0,0.0,25-01-2026,P,V,LPA
F-2026-00017,17,100000018,40.0,0.0,13-05-2026,P,E,ET
F-2026-00018,18,100000014,150.0,0.0,21-07-2026,P,C,LPA
F-2026-00019,19,100000012,150.0,0.0,25-06-2026,P,C,LPS
F-2026-00020,20,100000018,150.0,0.0,29-05-2026,P,V,LPA
F-2026-00021,21,100000002,85.0,0.0,10-06-2026,P,C,EPL
F-2026-00022,22,100000005,40.0,0.0,24-06-2026,P,E,ET
F-2026-00023,23,100000004,67.5,67.5,22-03-2026,I,E,LT
F-2026-00024,24,100000011,150.0,150.0,26-03-2026,I,E,EP
F-2026-00025,25,100000006,112.5,112.5,26-06-2026,I,V,LPZ
F-2026-00026,26,100000018,150.0,0.0,01-05-2026,P,E,EP
F-2026-00027,27,100000007,85.0,21.13,07-05-2026,PP,C,EPL
F-2026-00028,28,100000009,150.0,150.0,10-05-2026,I,V,EP
F-2026-00029,29,100000010,75.0,0.0,18-02-2026,P,V,LPA
F-2026-00030,30,100000016,90.0,90.0,06-04-2026,I,C,LT
F-2026-00031,31,100000003,45.0,45.0,20-06-2026,I,C,LT
F-2026-00032,32,100000014,90.0,44.77,04-06-2026,PP,C,LT
F-2026-00033,33,100000013,150.0,0.0,19-06-2026,P,V,LPA
F-2026-00034,34,100000004,150.0,0.0,17-03-2026,P,C,LPA
F-2026-00035,35,100000012,75.0,0.0,24-06-2026,P,C,LPZ
F-2026-00036,36,100000018,150.0,0.0,11-05-2026,P,E,LPZ
F-2026-00037,37,100000018,112.5,0.0,03-06-2026,P,V,LPA
F-2026-00038,38,100000009,67.5,0.0,16-03-2026,P,E,LT
F-2026-00039,39,100000002,112.5,0.0,16-04-2026,P,V,LPA
F-2026-00040,40,100000014,45.0,0.0,08-02-2026,P,C,LT
F-2026-00041,41,100000018,112.5,0.0,15-05-2026,P,C,LPA
F-2026-00042,42,100000008,45.0,0.0,07-06-2026,P,C,LT
F-2026-00043,43,100000008,85.0,36.86,15-05-2026,PP,E,EPL
F-2026-00044,44,100000011,150.0,75.94,14-06-2026,PP,C,EP
F-2026-00045,45,100000004,75.0,0.0,01-04-2026,P,C,LPZ
F-2026-00046,46,100000008,75.0,75.0,16-07-2026,I,V,LPA
F-2026-00047,47,100000009,150.0,150.0,24-05-2026,I,V,LPZ
F-2026-00048,48,100000009,150.0,59.29,20-03-2026,PP,C,LPA
F-2026-00049,49,100000011,150.0,0.0,09-07-2026,P,C,LPS
F-2026-00050,50,100000014,150.0,75.0,02-08-2026,PP,V,LPA
F-2026-00051,50,100000014,150.0,20.0,02-08-2026,PP,V,LPA
